"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory",,
"2720130	Scirpus hattorianus Makino	2720130	Scirpus hattorianus Makino	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Scirpus	2720078	Scirpus hattorianus	2720130	LC",,
"2721570	Rhynchospora odorata C.Wright ex Griseb.	2721570	Rhynchospora odorata C.Wright ex Griseb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Rhynchospora	2701052	Rhynchospora odorata	2721570	NE",,
"3151722	Symphyotrichum grandiflorum (L.) G.L.Nesom	3151722	Symphyotrichum grandiflorum (L.) G.L.Nesom	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Symphyotrichum	3151391	Symphyotrichum grandiflorum	3151722	NE",,
"5359477	Trifolium campestre Schreb.	5359477	Trifolium campestre Schreb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Trifolium	2973363	Trifolium campestre	5359477	NE",,
"6388610	Athyrium asplenioides (Michx.) A.A.Eaton	7422009	Athyrium asplenioides (Michx.) Desv.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Athyriaceae	4922264	Athyrium	2650888	Athyrium asplenioides	7422009	NE",,
"2883047	Rhododendron catawbiense Michx.	2883047	Rhododendron catawbiense Michx.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Rhododendron	2883026	Rhododendron catawbiense	2883047	LC",,
"3189816	Aesculus sylvatica W.Bartram	3189816	Aesculus sylvatica W.Bartram	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Aesculus	3189801	Aesculus sylvatica	3189816	LC",,
"6070732	Mimulus ringens L.	6070732	Mimulus ringens L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Phrymaceae	4194986	Mimulus	6008574	Mimulus ringens	6070732	LC",,
"7820611	Persicaria lapathifolia (L.) Delarbre	7820611	Persicaria lapathifolia (L.) Delarbre	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Persicaria	6390748	Persicaria lapathifolia	7820611	LC",,
"2726894	Carex echinata Murray	2726894	Carex echinata Murray	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex echinata	2726894	LC",,
"2769457	Maianthemum racemosum (L.) Link	2769457	Maianthemum racemosum (L.) Link	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asparagaceae	7683	Maianthemum	9608430	Maianthemum racemosum	2769457	NE",,
"2944129	Pediomelum canescens (Michx.) Rydb.	2944129	Pediomelum canescens (Michx.) Rydb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Pediomelum	2959963	Pediomelum canescens	2944129	NE",,
"3189807	Aesculus pavia L.	3189807	Aesculus pavia L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Aesculus	3189801	Aesculus pavia	3189807	LC",,
"5341476	Lycopus virginicus L.	5341476	Lycopus virginicus L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Lycopus	2927122	Lycopus virginicus	5341476	LC",,
"5383713	Nyssa biflora Walter	5383713	Nyssa biflora Walter	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cornales	949	Nyssaceae	6712	Nyssa	3082211	Nyssa biflora	5383713	LC",,
"5408626	Lobelia boykinii Torr. & Gray ex A.DC.	5408626	Lobelia boykinii Torr. & Gray ex A.DC.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Campanulaceae	8801	Lobelia	2756426	Lobelia boykinii	5408626	NE",,
"2830046	Habenaria repens Nutt.	2830046	Habenaria repens Nutt.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Habenaria	2828306	Habenaria repens	2830046	NE",,
"5333390	Lyonia fruticosa (Michx.) G.S.Torr.	5333390	Lyonia fruticosa (Michx.) G.S.Torr.	1	SPECIES	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Lyonia	2882692	Lyonia fruticosa	5333390	NE",,
"8012965	Rhynchospora breviseta (Gale) Channell	6069217	Rhynchospora galeana Naczi"," W.M.Knapp & G.Moor	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Rhynchospora	2701052	Rhynchospora galeana	6069217	NE",
"2721053	Rhynchospora inexpansa (Michx.) Vahl	2721053	Rhynchospora inexpansa (Michx.) Vahl	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Rhynchospora	2701052	Rhynchospora inexpansa	2721053	NE",,
"3172297	Ligustrum lucidum W.T.Aiton	3172297	Ligustrum lucidum W.T.Aiton	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Oleaceae	6652	Ligustrum	3172289	Ligustrum lucidum	3172297	LC",,
"3191455	Polygala paucifolia Willd.	7346080	Polygaloides paucifolia (Willd.) J.R.Abbott	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Polygalaceae	2417	Polygaloides	7293601	Polygaloides paucifolia	7346080	NE",,
"5290120	Gymnopogon ambiguus (Michx.) Britton"," Sterns & Poggenb.	5290120	Gymnopogon ambiguus (Michx.) Britton"," Sterns & Poggenb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Gymnopogon	2705515	Gymnopogon ambiguus	5290120	NE"
"2726814	Carex granularis Muhl. ex Willd.	2726814	Carex granularis Muhl. ex Willd.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex granularis	2726814	LC",,
"2975328	Vicia hirsuta (L.) Gray	2975328	Vicia hirsuta (L.) Gray	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia hirsuta	2975328	NE",,
"5290124	Gymnopogon brevifolius Trin.	5290124	Gymnopogon brevifolius Trin.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Gymnopogon	2705515	Gymnopogon brevifolius	5290124	NE",,
"5286649	Lachnocaulon beyrichianum Sporl. ex Körn.	11048280	Paepalanthus beyrichianus (Sporl. ex Körn.) Christenh. & Byng	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Eriocaulaceae	3741	Paepalanthus	8424714	Paepalanthus beyrichianus	11048280	NE",,
"2720814	Rhynchospora cephalantha A.Gray	2720814	Rhynchospora cephalantha A.Gray	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Rhynchospora	2701052	Rhynchospora cephalantha	2720814	NE",,
"3033662	Xanthorhiza simplicissima Marshall	3033662	Xanthorhiza simplicissima Marshall	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Xanthorhiza	3033661	Xanthorhiza simplicissima	3033662	NE",,
"2722760	Carex pseudocyperus L.	2722760	Carex pseudocyperus L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex pseudocyperus	2722760	LC",,
"2725894	Carex alata Torr.	2725894	Carex alata Torr.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex alata	2725894	NE",,
"3725742	Pedicularis canadensis var. dobbsii Fernald	3171674	Pedicularis canadensis L.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Orobanchaceae	6651	Pedicularis	3171670	Pedicularis canadensis	3171674	",,
"4246310	Parthenium integrifolium var. integrifolium	4246310	Parthenium integrifolium var. integrifolium	1	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Parthenium	3086782	Parthenium integrifolium	3086802	",,
"5331373	Viola palmata var. triloba (Schwein.) Ging. ex DC.	5331373	Viola palmata var. triloba (Schwein.) Ging. ex DC.	1	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Violaceae	6631	Viola	2874237	Viola palmata	5331370	",,
"5384326	Froelichia floridana (Nutt.) Moq.	5384326	Froelichia floridana (Nutt.) Moq.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Froelichia	3085062	Froelichia floridana	5384326	NE",,
"2724701	Carex hirsutella Mack.	2724701	Carex hirsutella Mack.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex hirsutella	2724701	NE",,
"3021850	Prunus serotina Ehrh.	3021850	Prunus serotina Ehrh.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559	Prunus serotina	3021850	LC",,
"7473187	Draba verna L.	7473187	Draba verna L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Draba	3049396	Draba verna	7473187	NE",,
"8001160	Duchesnea indica (Andrews) Teschem.	5365717	Potentilla indica (Andrews) Th.Wolf	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058	Potentilla indica	5365717	NE",,
"2727242	Carex pigra Naczi	2727242	Carex pigra Naczi	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex pigra	2727242	NE",,
"3132645	Pluchea foetida (L.) DC.	3132645	Pluchea foetida (L.) DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pluchea	3132596	Pluchea foetida	3132645	NE",,
"3152820	Platanus occidentalis L.	3152820	Platanus occidentalis L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Proteales	400	Platanaceae	6693	Platanus	3152811	Platanus occidentalis	3152820	LC",,
"5420892	Rhexia nashii Small	5420892	Rhexia nashii Small	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Rhexia	7793133	Rhexia nashii	5420892	NE",,
"7229226	Thelypteris ovata var. ovata	11416286	Pelazoneuron ovatum (R.P.St.John) A.R.Sm. & S.E.Fawc.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Thelypteridaceae	6618	Pelazoneuron	11606536	Pelazoneuron ovatum	11416286	",,
"2689846	Syngonanthus flavidulus (Michx.) Ruhland	2689846	Syngonanthus flavidulus (Michx.) Ruhland	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Eriocaulaceae	3741	Syngonanthus	2689618	Syngonanthus flavidulus	2689846	NE",,
"2723366	Carex venusta var. minor Boeckeler	2723363	Carex venusta Dewey	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex venusta	2723363	",,
"2928153	Phacelia purshii Buckley	2928153	Phacelia purshii Buckley	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Hydrophyllaceae	2387	Phacelia	8988077	Phacelia purshii	2928153	NE",,
"5376648	Lepidium virginicum L.	5376648	Lepidium virginicum L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Lepidium	3051713	Lepidium virginicum	5376648	NE",,
"7808016	Geranium maculatum L.	7808016	Geranium maculatum L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Geraniales	624	Geraniaceae	4676	Geranium	2889949	Geranium maculatum	7808016	NE",,
"2703259	Danthonia compressa Austin	2703259	Danthonia compressa Austin	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Danthonia	2703248	Danthonia compressa	2703259	NE",,
"2715219	Cyperus odoratus L.	2715219	Cyperus odoratus L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Cyperus	2713455	Cyperus odoratus	2715219	LC",,
"2725264	Carex glaucescens Elliott	2725264	Carex glaucescens Elliott	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex glaucescens	2725264	NE",,
"2867316	Arisaema triphyllum (L.) Schott	2867316	Arisaema triphyllum (L.) Schott	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Arisaema	2866809	Arisaema triphyllum	2867316	NE",,
"4135119	Dichanthelium chamaelonche (Trin.) Freckmann & Lelong	4135119	Dichanthelium chamaelonche (Trin.) Freckmann & Lelong	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Dichanthelium	2702537	Dichanthelium chamaelonche	4135119	NE",,
"5341413	Monarda punctata L.	5341413	Monarda punctata L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Monarda	2926838	Monarda punctata	5341413	NE",,
"7319985	Halesia tetraptera var. tetraptera	5371655	Halesia carolina L.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Styracaceae	2507	Halesia	3032919	Halesia carolina	5371655	",,
"8149049	Wisteria sinensis (Sims) DC.	8149049	Wisteria sinensis (Sims) DC.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Wisteria	2977309	Wisteria sinensis	8149049	NE",,
"2726068	Carex sterilis Willd.	2726068	Carex sterilis Willd.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex sterilis	2726068	LC",,
"2740314	Uvularia sessilifolia L.	2740314	Uvularia sessilifolia L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Colchicaceae	7697	Uvularia	2740309	Uvularia sessilifolia	2740314	NE",,
"2753278	Lilium superbum L.	2753278	Lilium superbum L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Liliaceae	7699	Lilium	2752977	Lilium superbum	2753278	NE",,
"3114043	Packera aurea (L.) Á.Löve & D.Löve	3114043	Packera aurea (L.) Á.Löve & D.Löve	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Packera	3113889	Packera aurea	3114043	NE",,
"2747489	Crocus chrysanthus (Herb.) Herb.	2747489	Crocus chrysanthus (Herb.) Herb.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Iridaceae	7698	Crocus	2747303	Crocus chrysanthus	2747489	NE",,
"2889320	Persicaria virginiana (L.) Gaertn.	2889320	Persicaria virginiana (L.) Gaertn.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Persicaria	6390748	Persicaria virginiana	2889320	NE",,
"3033114	Thalictrum thalictroides (L.) A.J.Eames & B.Boivin	3033114	Thalictrum thalictroides (L.) A.J.Eames & B.Boivin	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Thalictrum	3033112	Thalictrum thalictroides	3033114	NE",,
"3082227	Cornus amomum Mill.	3082227	Cornus amomum Mill.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cornales	949	Cornaceae	6713	Cornus	3082226	Cornus amomum	3082227	LC",,
"4227507	Pityopsis aspera var. adenolepis (Fernald) Semple & F.D.Bowers	6444720	Pityopsis aspera (A.Gray) Small	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Pityopsis	3094299	Pityopsis aspera	6444720	",,
"5567570	Micranthes virginiensis (Michx.) Small	5567570	Micranthes virginiensis (Michx.) Small	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Saxifragaceae	2402	Micranthes	6447095	Micranthes virginiensis	5567570	NE",,
"5372394	Vitis rotundifolia Michx.	5372394	Vitis rotundifolia Michx.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Vitis	7467468	Vitis rotundifolia	5372394	NE",,
